Time (s),Force (N),Distance (mm)
3.96,1.18,1260.8
3.97,1.37,1269.6
3.98,1.31,1278.4
3.99,1.2,1287.1
4.0,1.26,1295.8
4.01,1.35,1304.7
4.02,1.26,1313.5
4.03,1.2,1322.2
4.04,1.34,1331.2
4.05,1.23,1340.1
4.06,1.14,1348.9
4.07,1.27,1357.8
4.08,1.27,1366.7
4.09,1.2,1375.5
4.1,1.21,1384.5
4.11,1.35,1393.6
4.12,1.21,1402.5
4.13,1.18,1411.3
4.14,1.35,1420.4
4.15,1.26,1429.3
4.16,1.19,1438.2
4.17,1.26,1447.1
4.18,1.33,1456.2
4.19,1.11,1464.9
4.2,1.23,1473.7
4.21,1.21,1482.7
4.22,1.14,1491.4
4.23,1.05,1500.1
4.24,1.17,1508.9
4.25,1.11,1517.6
4.26,1.02,1526.4
4.27,1.06,1535.3
4.28,1.09,1544.1
4.29,1.01,1553.0
4.3,1.02,1561.9
4.31,1.13,1571.0
4.32,1.12,1579.8
4.33,1.06,1588.8
4.34,1.23,1597.8
4.35,1.15,1606.8
4.36,1.1,1615.6
4.37,1.19,1624.5
4.38,1.19,1633.6
4.39,1.08,1642.4
4.4,1.16,1651.4
4.41,1.22,1660.3
4.42,1.07,1669.3
4.43,1.14,1678.1
4.44,1.15,1687.2
4.45,1.15,1696.1
4.46,1.04,1705.1
4.47,1.21,1714.0
4.48,1.17,1723.0
4.49,1.09,1731.9
4.5,1.13,1740.8
4.51,1.13,1749.7
4.52,1.05,1758.4
4.53,1.08,1767.2
4.54,1.18,1776.3
4.55,1.08,1785.1
4.56,1.07,1794.0
4.57,1.14,1802.8
4.58,1.11,1811.6
4.59,1.0,1820.2
4.6,1.11,1829.0
4.61,1.13,1837.9
4.62,1.04,1846.7
4.63,1.1,1855.4
4.64,1.18,1864.4
4.65,1.14,1873.1
4.66,1.05,1881.9
4.67,1.19,1890.7
4.68,1.14,1899.6
4.69,1.07,1908.4
4.7,1.12,1917.2
4.71,1.13,1926.1
4.72,1.08,1934.9
4.73,1.01,1943.7
4.74,1.15,1952.7
4.75,1.02,1961.5
4.76,1.02,1970.3
4.77,1.1,1979.3
4.78,1.13,1988.2
4.79,1.06,1997.1
4.8,1.13,2006.0
4.81,1.21,2014.9
4.82,1.09,2023.8
4.83,1.2,2032.7
4.84,1.24,2041.8
4.85,1.14,2050.5
4.86,1.18,2059.2
4.87,1.28,2068.0
4.88,1.18,2076.8
4.89,1.09,2085.4
4.9,1.24,2094.1
4.91,1.21,2103.0
4.92,1.11,2111.6
4.93,1.17,2120.3
4.94,1.26,2129.3
4.95,1.17,2138.1
4.96,1.11,2146.9
4.97,1.31,2156.0
4.98,1.22,2164.9
4.99,1.23,2174.0
5.0,1.33,2183.1
5.01,1.4,2192.4
5.02,1.29,2201.4
5.03,1.42,2210.5
5.04,1.49,2219.6
5.05,1.34,2228.5
5.06,1.44,2237.5
5.07,1.45,2246.4
5.08,1.36,2255.2
5.09,1.27,2264.1
5.1,1.42,2272.9
5.11,1.28,2281.7
5.12,1.18,2290.4
5.13,1.27,2299.4
5.14,1.28,2308.3
5.15,1.16,2317.3
5.16,1.2,2326.4
5.17,1.33,2335.4
5.18,1.28,2344.5
5.19,1.29,2353.5
5.2,1.45,2362.7
5.21,1.4,2371.9
5.22,1.39,2381.0
5.23,1.49,2390.2
5.24,1.54,2399.2
5.25,1.32,2408.2
5.26,1.51,2417.2
5.27,1.37,2426.2
5.28,1.28,2435.0
5.29,1.17,2443.8
5.3,1.27,2452.8
5.31,1.11,2461.4
5.32,1.02,2470.1
5.33,1.06,2479.1
5.34,0.99,2487.8
5.35,0.91,2496.4
5.36,0.86,2505.3
5.37,0.93,2514.1
5.38,0.86,2522.8
5.39,0.87,2531.8
5.4,0.92,2540.7
5.41,0.97,2549.5
5.42,0.95,2558.3
5.43,1.02,2567.2
5.44,1.12,2576.1
5.45,1.06,2584.9
5.46,1.14,2593.8
5.47,1.17,2602.7
5.48,1.03,2611.4
5.49,1.08,2620.2
5.5,1.02,2629.0
5.51,1.0,2637.8
5.52,0.85,2646.5
5.53,0.95,2655.2
5.54,0.86,2663.9
5.55,0.84,2672.4
5.56,0.78,2681.2
5.57,0.85,2689.8
5.58,0.77,2698.3
5.59,0.79,2707.1
5.6,0.81,2715.8
5.61,0.88,2724.5
5.62,0.89,2733.1
5.63,0.94,2741.9
5.64,1.03,2750.7
5.65,1.02,2759.1
5.66,1.03,2767.8
5.67,1.16,2776.4
5.68,1.16,2784.8
5.69,1.15,2793.3
5.7,1.16,2801.9
5.71,1.16,2810.2
5.72,0.99,2818.5
5.73,1.13,2826.8
5.74,1.06,2835.3
5.75,1.01,2843.6
5.76,0.88,2851.8
5.77,0.97,2860.2
5.78,0.89,2868.5
5.79,0.85,2876.9
5.8,0.82,2885.2
5.81,0.91,2893.7
5.82,0.86,2902.1
5.83,0.83,2910.3
5.84,0.86,2918.8
5.85,0.89,2927.1
5.86,0.82,2935.4
5.87,0.88,2943.7
5.88,0.91,2952.1
5.89,0.92,2960.3
5.9,0.83,2968.6
5.91,0.94,2976.8
5.92,0.87,2985.1
5.93,0.84,2993.2
5.94,0.83,3001.3
5.95,0.91,3009.8
5.96,0.92,3017.9
5.97,0.84,3026.2
5.98,0.97,3034.4
5.99,0.96,3042.8
6.0,0.98,3050.9
6.01,0.86,3059.0
6.02,1.0,3067.4
6.03,0.94,3075.6
6.04,0.94,3083.6
6.05,0.91,3091.9
6.06,1.01,3100.2
6.07,1.0,3108.5
6.08,0.92,3116.6
6.09,1.05,3124.9
6.1,0.99,3133.2
6.11,1.0,3141.2
6.12,0.95,3149.3
6.13,1.05,3157.7
6.14,1.07,3165.9
6.15,0.99,3174.0
6.16,1.06,3182.2
6.17,1.07,3190.4
6.18,1.08,3198.4
6.19,1.0,3206.5
6.2,1.13,3214.8
6.21,1.08,3222.8
6.22,1.02,3230.8
6.23,1.04,3238.8
6.24,1.02,3246.8
6.25,1.0,3254.7
6.26,0.86,3262.3
6.27,0.83,3270.5
6.28,0.81,3278.5
6.29,0.78,3286.2
6.3,0.7,3294.1
6.31,0.69,3302.4
6.32,0.74,3310.5
6.33,0.74,3318.5
6.34,0.71,3326.7
6.35,0.79,3335.1
6.36,0.86,3343.2
6.37,0.87,3351.2
6.38,0.85,3359.7
6.39,1.0,3367.9
6.4,0.98,3375.9
6.41,0.97,3384.1
6.42,0.97,3392.4
6.43,1.06,3400.5
6.44,1.0,3408.4
6.45,0.94,3416.8
6.46,1.02,3425.0
6.47,1.02,3432.9
6.48,0.98,3440.9
6.49,0.95,3449.3
6.5,1.07,3457.4
6.51,1.01,3465.3
6.52,0.97,3473.5
6.53,1.0,3481.8
6.54,1.08,3489.9
6.55,1.02,3497.9
6.56,0.98,3506.2
6.57,1.07,3514.4
6.58,1.03,3522.3
6.59,0.97,3530.4
6.6,0.95,3538.6
6.61,1.04,3546.8
6.62,0.94,3554.5
6.63,0.84,3562.8
6.64,0.85,3570.9
6.65,0.84,3578.9
6.66,0.78,3586.7
6.67,0.74,3595.0
6.68,0.83,3603.3
6.69,0.81,3611.3
6.7,0.82,3619.5
6.71,0.81,3627.9
6.72,0.95,3636.1
6.73,0.92,3644.1
6.74,0.91,3652.5
6.75,0.99,3660.9
6.76,1.05,3669.0
6.77,0.99,3677.0
6.78,0.98,3685.5
6.79,1.1,3693.7
6.8,1.05,3701.7
6.81,0.98,3710.0
6.82,1.01,3718.3
6.83,1.06,3726.4
6.84,0.99,3734.4
6.85,0.91,3742.9
6.86,1.02,3751.3
6.87,1.03,3759.4
6.88,0.98,3767.6
6.89,1.0,3776.0
6.9,1.09,3784.2
6.91,1.04,3792.2
6.92,0.98,3800.7
6.93,1.08,3809.1
6.94,1.07,3817.1
6.95,1.01,3825.2
6.96,0.97,3833.6
6.97,1.05,3841.7
6.98,0.94,3849.5
6.99,0.83,3857.6
7.0,0.83,3865.7
7.01,0.82,3873.7
7.02,0.75,3881.6
7.03,0.68,3889.8
7.04,0.77,3898.1
7.05,0.74,3906.2
7.06,0.73,3914.3
7.07,0.7,3922.8
7.08,0.82,3931.2
7.09,0.81,3939.3
7.1,0.82,3947.8
7.11,0.89,3956.2
7.12,0.97,3964.5
7.13,0.92,3972.7
7.14,0.93,3981.3
7.15,1.04,3989.7
7.16,1.04,3997.8
7.17,0.99,4006.3
7.18,1.09,4014.8
7.19,1.14,4022.9
7.2,1.08,4031.0
7.21,1.03,4039.5
7.22,1.15,4047.8
7.23,1.07,4055.9
7.24,1.0,4064.1
7.25,1.0,4072.5
7.26,1.07,4080.6
7.27,1.0,4088.6
7.28,0.92,4096.8
7.29,0.97,4105.1
7.3,0.92,4113.0
7.31,0.83,4121.1
7.32,0.8,4129.4
7.33,0.84,4137.6
7.34,0.74,4145.4
7.35,0.64,4153.6
7.36,0.65,4161.9
7.37,0.65,4169.9
7.38,0.61,4178.2
7.39,0.62,4186.7
7.4,0.71,4195.1
7.41,0.73,4203.4
7.42,0.78,4211.8
7.43,0.85,4220.4
7.44,0.99,4228.9
7.45,0.96,4237.2
7.46,0.98,4245.8
7.47,1.1,4254.1
7.48,1.11,4262.2
7.49,1.04,4270.6
7.5,1.09,4279.2
7.51,1.19,4287.4
7.52,1.12,4295.4
7.53,1.05,4303.9
7.54,1.16,4312.2
7.55,1.08,4320.2
7.56,0.99,4328.4
7.57,0.99,4336.8
7.58,1.04,4345.0
7.59,0.97,4353.0
7.6,0.89,4361.4
7.61,0.94,4369.7
7.62,0.95,4377.7
7.63,0.86,4386.0
7.64,0.86,4394.5
7.65,0.91,4402.8
7.66,0.87,4410.9
7.67,0.81,4419.3
7.68,0.84,4427.7
7.69,0.86,4435.8
7.7,0.78,4443.9
7.71,0.73,4452.3
7.72,0.78,4460.5
7.73,0.76,4468.6
7.74,0.72,4476.9
7.75,0.75,4485.3
7.76,0.82,4493.6
7.77,0.8,4501.7
7.78,0.78,4510.1
7.79,0.84,4518.4
7.8,0.92,4526.7
7.81,0.83,4534.9
7.82,0.89,4543.4
7.83,0.97,4551.6
7.84,0.91,4559.6
7.85,0.84,4568.1
7.86,0.91,4576.5
7.87,0.89,4584.5
7.88,0.86,4592.7
7.89,0.83,4601.1
7.9,0.9,4609.3
7.91,0.86,4617.4
7.92,0.83,4625.8
7.93,0.88,4634.2
7.94,0.95,4642.3
7.95,0.88,4650.5
7.96,0.89,4658.9
7.97,0.96,4667.2
7.98,0.93,4675.4
7.99,0.86,4683.7
8.0,0.9,4692.1
8.01,0.94,4700.3
8.02,0.86,4708.6
8.03,0.86,4716.9
8.04,0.92,4725.3
8.05,0.91,4733.3
8.06,0.83,4741.6
8.07,0.87,4749.9
8.08,0.87,4758.0
8.09,0.8,4766.1
8.1,0.76,4774.5
8.11,0.85,4782.9
8.12,0.86,4791.0
8.13,0.84,4799.2
8.14,0.87,4807.6
8.15,0.96,4815.8
8.16,0.91,4823.9
8.17,0.87,4832.3
8.18,0.88,4840.5
8.19,0.89,4848.7
8.2,0.8,4856.9
8.21,0.81,4865.3
8.22,0.86,4873.6
8.23,0.87,4881.9
8.24,0.82,4890.2
8.25,0.91,4898.7
8.26,0.97,4906.9
8.27,0.9,4915.2
8.28,0.89,4923.7
8.29,0.99,4932.0
8.3,0.99,4940.1
8.31,0.93,4948.6
8.32,1.0,4957.1
8.33,1.04,4965.2
8.34,0.94,4973.5
8.35,0.93,4981.9
8.36,0.98,4990.3
8.37,0.96,4998.4
8.38,0.87,5006.7
8.39,0.92,5015.0
8.4,0.89,5023.1
8.41,0.83,5031.2
8.42,0.72,5039.4
8.43,0.77,5047.5
8.44,0.69,5055.4
8.45,0.66,5063.5
8.46,0.64,5071.9
8.47,0.69,5080.0
8.48,0.65,5088.0
8.49,0.62,5096.5
8.5,0.68,5104.9
8.51,0.67,5113.0
8.52,0.65,5121.2
8.53,0.64,5129.7
8.54,0.73,5138.1
8.55,0.74,5146.3
8.56,0.73,5154.8
8.57,0.83,5163.2
8.58,0.9,5171.5
8.59,0.89,5179.8
8.6,0.91,5188.3
8.61,1.04,5196.7
8.62,1.02,5204.8
8.63,0.96,5213.3
8.64,1.05,5221.6
8.65,1.08,5229.9
8.66,1.03,5237.9
8.67,0.93,5246.4
8.68,1.02,5254.6
8.69,0.95,5262.7
8.7,0.89,5271.0
8.71,0.9,5279.3
8.72,0.91,5287.5
8.73,0.84,5295.5
8.74,0.76,5303.8
8.75,0.84,5312.1
8.76,0.81,5320.0
8.77,0.72,5328.1
8.78,0.71,5336.3
8.79,0.74,5344.4
8.8,0.68,5352.4
8.81,0.6,5360.7
8.82,0.61,5369.0
8.83,0.63,5377.2
8.84,0.62,5385.5
8.85,0.66,5394.1
8.86,0.78,5402.5
8.87,0.79,5410.7
8.88,0.82,5419.2
8.89,0.89,5427.7
8.9,0.97,5436.0
8.91,0.96,5444.2
8.92,0.95,5452.8
8.93,1.09,5461.1
8.94,1.08,5469.1
8.95,0.98,5477.5
8.96,1.06,5485.8
8.97,1.06,5493.8
8.98,0.98,5502.0
8.99,0.89,5510.3
9.0,1.01,5518.6
9.01,0.94,5526.6
9.02,0.84,5534.7
9.03,0.83,5543.1
9.04,0.86,5551.2
9.05,0.8,5559.2
9.06,0.71,5567.7
9.07,0.82,5575.9
9.08,0.78,5584.0
9.09,0.77,5592.3
9.1,0.74,5600.6
9.11,0.84,5609.0
9.12,0.76,5616.9
9.13,0.68,5625.1
9.14,0.69,5633.4
9.15,0.7,5641.5
9.16,0.63,5649.5
9.17,0.59,5657.8
9.18,0.69,5666.1
9.19,0.67,5674.2
9.2,0.66,5682.5
9.21,0.7,5690.9
9.22,0.83,5699.2
9.23,0.83,5707.3
9.24,0.78,5715.7
9.25,0.91,5724.0
9.26,0.95,5732.1
9.27,0.87,5740.3
9.28,0.86,5748.6
9.29,0.94,5756.7
9.3,0.9,5764.6
9.31,0.8,5772.9
9.32,0.91,5781.1
9.33,0.89,5789.0
9.34,0.82,5796.9
9.35,0.7,5805.1
9.36,0.83,5813.4
9.37,0.74,5821.4
9.38,0.73,5829.5
9.39,0.71,5837.9
9.4,0.84,5846.1
9.41,0.79,5854.1
9.42,0.79,5862.5
9.43,0.87,5870.7
9.44,0.88,5878.8
9.45,0.83,5886.8
9.46,0.8,5895.2
9.47,0.94,5903.4
9.48,0.85,5911.3
9.49,0.78,5919.6
9.5,0.85,5927.8
9.51,0.83,5935.7
9.52,0.74,5943.8
9.53,0.72,5952.2
9.54,0.87,5960.4
9.55,0.87,5968.4
9.56,0.81,5976.7
9.57,0.91,5985.0
9.58,1.02,5993.1
9.59,0.94,6001.0
9.6,0.85,6009.3
9.61,0.96,6017.5
9.62,0.93,6025.4
9.63,0.82,6033.4
9.64,0.79,6041.8
9.65,0.94,6050.0
9.66,0.9,6057.9
9.67,0.79,6066.1
9.68,0.91,6074.5
9.69,0.92,6082.5
9.7,0.85,6090.6
9.71,0.79,6099.0
9.72,0.97,6107.2
9.73,0.98,6115.2
9.74,0.87,6123.5
9.75,0.94,6131.8
9.76,1.04,6140.0
9.77,0.96,6148.1
9.78,0.86,6156.4
9.79,1.03,6164.7
9.8,0.94,6172.6
9.81,0.83,6180.7
9.82,0.83,6188.9
9.83,0.91,6197.1
9.84,0.84,6204.8
9.85,0.68,6212.8
9.86,0.73,6221.0
9.87,0.7,6228.9
9.88,0.64,6236.6
9.89,0.53,6244.7
9.9,0.63,6252.8
9.91,0.56,6260.8
9.92,0.58,6268.8
9.93,0.57,6277.0
9.94,0.71,6285.1
9.95,0.69,6293.1
9.96,0.67,6301.3
9.97,0.76,6309.4
9.98,0.87,6317.4
9.99,0.79,6325.3
10.0,0.74,6333.4
10.01,0.89,6341.5
10.02,0.91,6349.4
10.03,0.84,6357.4
10.04,0.83,6365.5
10.05,0.96,6373.5
10.06,0.88,6381.3
10.07,0.79,6389.3
10.08,0.85,6397.4
10.09,0.97,6405.3
10.1,0.85,6413.1
10.11,0.78,6421.1
10.12,0.91,6429.1
10.13,0.91,6436.9
10.14,0.79,6444.7
10.15,0.76,6452.8
10.16,0.89,6460.7
10.17,0.79,6468.4
10.18,0.73,6476.3
10.19,0.75,6484.3
10.2,0.87,6492.2
