Time (s),Force (N),Distance (mm)
0.01,0.23,0.0
0.02,0.23,0.0
0.03,0.26,0.1
0.04,0.26,0.3
0.05,0.27,0.4
0.06,0.27,0.4
0.07,0.28,0.5
0.08,0.27,0.7
0.09,0.27,0.8
0.1,0.27,1.0
0.11,0.28,1.1
0.12,0.28,1.4
0.13,0.3,1.6
0.14,0.31,2.1
0.15,0.34,2.4
0.16,0.34,2.7
0.17,0.35,3.0
0.18,0.36,3.2
0.19,0.37,3.5
0.2,0.37,3.7
0.21,0.37,4.0
0.22,0.37,4.1
0.23,0.37,4.3
0.24,0.37,4.4
0.25,0.37,4.5
0.26,0.36,4.5
0.27,0.35,4.7
0.28,0.35,4.8
0.29,0.35,4.8
0.3,0.34,4.8
0.31,0.34,4.9
0.32,0.34,4.9
0.33,0.35,5.0
0.34,0.35,5.0
0.35,0.35,5.1
0.36,0.35,5.1
0.37,0.35,5.2
0.38,0.35,5.2
0.39,0.33,5.2
0.4,0.34,5.4
0.41,0.32,5.4
0.42,0.32,5.5
0.43,0.3,5.5
0.44,0.31,5.6
0.45,0.3,5.7
0.46,0.3,5.8
0.47,0.29,6.0
0.48,0.29,6.0
0.49,0.29,6.1
0.5,0.29,6.2
0.51,0.29,6.3
0.52,0.29,6.4
0.53,0.3,6.5
0.54,0.31,6.7
0.55,0.31,6.8
0.56,0.32,6.9
0.57,0.33,6.9
0.58,0.34,7.0
0.59,0.35,7.1
0.6,0.35,7.2
0.61,0.36,7.4
0.62,0.37,7.5
0.63,0.37,7.6
0.64,0.36,7.6
0.65,0.37,7.7
0.66,0.36,7.7
0.67,0.37,7.8
0.68,0.37,8.0
0.69,0.36,8.0
0.7,0.36,8.0
0.71,0.35,8.0
0.72,0.36,8.1
0.73,0.34,8.1
0.74,0.35,8.1
0.75,0.34,8.1
0.76,0.36,8.2
0.77,0.35,8.2
0.78,0.36,8.3
0.79,0.36,8.3
0.8,0.35,8.3
0.81,0.36,8.3
0.82,0.34,8.4
0.83,0.37,8.4
0.84,0.35,8.5
0.85,0.37,8.5
0.86,0.34,8.5
0.87,0.35,8.7
0.88,0.34,8.7
0.89,0.34,8.8
0.9,0.34,8.8
0.91,0.32,8.9
0.92,0.33,9.0
0.93,0.32,9.1
0.94,0.34,9.3
0.95,0.33,9.5
0.96,0.36,9.6
0.97,0.34,9.7
0.98,0.35,9.8
0.99,0.35,10.0
1.0,0.36,10.1
1.01,0.36,10.1
1.02,0.35,10.2
1.03,0.36,10.3
1.04,0.34,10.3
1.05,0.35,10.3
1.06,0.34,10.4
1.07,0.34,10.4
1.08,0.34,10.5
1.09,0.34,10.7
1.1,0.33,10.7
1.11,0.33,10.7
1.12,0.34,10.8
1.13,0.32,10.8
1.14,0.34,10.9
1.15,0.32,10.9
1.16,0.33,11.0
1.17,0.32,11.1
1.18,0.33,11.1
1.19,0.32,11.1
1.2,0.32,11.3
1.21,0.32,11.3
1.22,0.3,11.4
1.23,0.33,11.6
1.24,0.33,11.8
1.25,0.35,12.0
1.26,0.34,12.1
1.27,0.35,12.1
1.28,0.33,12.2
1.29,0.34,12.3
1.3,0.33,12.3
1.31,0.32,12.3
1.32,0.32,12.3
1.33,0.3,12.4
1.34,0.32,12.4
1.35,0.29,12.4
1.36,0.32,12.4
1.37,0.29,12.5
1.38,0.32,12.7
1.39,0.32,12.7
1.4,0.3,12.8
1.41,0.31,12.8
1.42,0.3,12.8
1.43,0.33,12.8
1.44,0.3,12.9
1.45,0.33,12.9
1.46,0.3,12.9
1.47,0.32,13.0
1.48,0.3,13.0
1.49,0.3,13.0
1.5,0.3,13.1
1.51,0.28,13.1
1.52,0.3,13.1
1.53,0.27,13.3
1.54,0.29,13.3
1.55,0.27,13.3
1.56,0.28,13.4
1.57,0.28,13.4
1.58,0.28,13.5
1.59,0.29,13.5
1.6,0.28,13.6
1.61,0.3,13.7
1.62,0.28,13.7
1.63,0.31,13.8
1.64,0.31,14.1
1.65,0.33,14.2
1.66,0.34,14.4
1.67,0.36,14.7
1.68,0.37,14.8
1.69,0.37,15.0
1.7,0.39,15.1
1.71,0.37,15.3
1.72,0.4,15.5
1.73,0.4,15.7
1.74,0.42,16.0
1.75,0.43,16.2
1.76,0.45,16.6
1.77,0.48,16.9
1.78,0.51,17.5
1.79,0.55,18.2
1.8,0.59,19.1
1.81,0.65,20.4
1.82,0.78,22.1
1.83,1.0,24.1
1.84,1.22,26.3
1.85,1.49,28.7
1.86,1.77,30.9
1.87,2.0,33.2
1.88,2.06,35.4
1.89,2.14,37.3
1.9,2.29,39.0
1.91,2.39,40.5
1.92,2.43,41.7
1.93,2.36,42.6
1.94,2.3,43.2
1.95,2.13,43.5
1.96,2.08,43.7
1.97,1.82,43.9
1.98,1.71,43.9
1.99,1.52,44.0
2.0,1.38,44.1
2.01,1.25,44.2
2.02,1.07,44.3
2.03,1.02,44.5
2.04,0.86,44.7
2.05,0.8,45.0
2.06,0.69,45.4
2.07,0.63,46.2
2.08,0.61,47.3
2.09,0.63,48.9
2.1,0.72,50.9
2.11,0.85,53.6
2.12,1.04,56.6
2.13,1.24,59.9
2.14,1.51,63.2
2.15,1.72,66.4
2.16,1.94,69.5
2.17,2.13,72.4
2.18,2.09,75.1
2.19,2.05,77.5
2.2,2.17,80.0
2.21,2.31,83.1
2.22,2.34,86.4
2.23,2.38,89.5
2.24,2.45,92.7
2.25,2.59,95.8
2.26,2.52,98.7
2.27,2.47,101.3
2.28,2.31,103.6
2.29,2.12,105.7
2.3,2.0,108.0
2.31,1.91,110.9
2.32,1.83,114.0
2.33,1.67,117.4
2.34,1.75,120.9
2.35,1.64,124.4
2.36,1.67,128.0
2.37,1.56,131.5
2.38,1.46,134.6
2.39,1.4,137.8
2.4,1.46,141.5
2.41,1.51,145.7
2.42,1.42,149.9
2.43,1.54,154.3
2.44,1.6,158.8
2.45,1.57,163.1
2.46,1.49,167.1
2.47,1.59,171.6
2.48,1.71,176.3
2.49,1.6,181.4
2.5,1.7,186.2
2.51,1.66,190.9
2.52,1.77,195.4
2.53,1.63,200.0
2.54,1.88,205.0
2.55,1.71,210.2
2.56,1.84,215.4
2.57,1.84,220.5
2.58,1.8,225.2
2.59,1.76,230.1
2.6,1.9,235.3
2.61,1.75,240.7
2.62,1.7,245.9
2.63,1.75,251.0
2.64,1.55,255.8
2.65,1.55,261.1
2.66,1.61,266.6
2.67,1.45,272.1
2.68,1.43,277.6
2.69,1.37,282.7
2.7,1.32,288.2
2.71,1.35,293.8
2.72,1.35,299.6
2.73,1.22,305.3
2.74,1.24,310.9
2.75,1.15,316.4
2.76,1.22,322.2
2.77,1.26,328.3
2.78,1.1,334.4
2.79,1.19,340.2
2.8,1.08,346.1
2.81,1.27,352.3
2.82,1.23,358.8
2.83,1.26,365.3
2.84,1.22,371.5
2.85,1.19,377.9
2.86,1.39,384.5
2.87,1.33,391.4
2.88,1.33,398.0
2.89,1.28,404.5
2.9,1.46,411.2
2.91,1.56,418.3
2.92,1.49,425.3
2.93,1.45,431.9
2.94,1.48,438.5
2.95,1.7,445.5
2.96,1.55,452.6
2.97,1.55,459.2
2.98,1.48,465.8
2.99,1.75,472.8
3.0,1.6,479.9
3.01,1.5,486.8
3.02,1.47,493.3
3.03,1.55,500.2
3.04,1.61,507.4
3.05,1.29,514.4
3.06,1.4,521.2
3.07,1.25,528.2
3.08,1.55,535.5
3.09,1.16,542.9
3.1,1.32,550.0
3.11,1.14,557.1
3.12,1.47,564.5
3.13,1.21,572.0
3.14,1.2,579.2
3.15,1.18,586.5
3.16,1.36,594.1
3.17,1.28,601.8
3.18,1.17,609.2
3.19,1.27,616.6
3.2,1.37,624.3
3.21,1.32,632.1
3.22,1.13,639.5
3.23,1.25,646.9
3.24,1.39,654.8
3.25,1.3,662.7
3.26,1.19,670.3
3.27,1.3,678.0
3.28,1.46,686.0
3.29,1.3,694.0
3.3,1.22,701.8
3.31,1.36,709.5
3.32,1.42,717.7
3.33,1.36,725.5
3.34,1.18,733.3
3.35,1.44,741.3
3.36,1.36,749.6
3.37,1.34,757.6
3.38,1.23,765.6
3.39,1.51,773.7
3.4,1.33,781.9
3.41,1.26,790.1
3.42,1.32,798.2
3.43,1.42,806.7
3.44,1.31,815.0
3.45,1.19,823.4
3.46,1.41,831.7
3.47,1.28,840.3
3.48,1.25,848.7
3.49,1.27,857.2
3.5,1.4,865.8
3.51,1.26,874.2
3.52,1.31,882.7
3.53,1.41,891.2
3.54,1.34,899.7
3.55,1.34,907.9
3.56,1.44,916.3
3.57,1.5,924.7
3.58,1.32,933.1
3.59,1.37,941.5
3.6,1.4,949.8
3.61,1.38,958.3
3.62,1.27,966.7
3.63,1.4,975.0
3.64,1.41,983.6
3.65,1.32,992.0
3.66,1.32,1000.4
3.67,1.42,1008.9
3.68,1.43,1017.4
3.69,1.31,1025.8
3.7,1.47,1034.2
3.71,1.4,1042.7
3.72,1.33,1051.1
3.73,1.28,1059.5
3.74,1.32,1068.1
3.75,1.14,1076.6
3.76,1.06,1085.1
3.77,1.13,1093.7
3.78,1.07,1102.4
3.79,1.04,1111.0
3.8,1.01,1119.8
3.81,1.1,1128.7
3.82,1.02,1137.5
3.83,1.02,1146.3
3.84,1.11,1155.1
3.85,1.08,1164.0
3.86,1.1,1172.8
3.87,1.21,1181.8
3.88,1.27,1190.7
3.89,1.17,1199.4
3.9,1.25,1208.2
3.91,1.35,1217.1
3.92,1.19,1225.8
3.93,1.26,1234.5
3.94,1.33,1243.3
3.95,1.31,1252.2
