Time (s),Force (N),Distance (mm)
1.16,0.99,3.5
1.17,0.97,3.5
1.18,0.97,3.6
1.19,0.97,3.7
1.2,0.94,3.8
1.21,0.97,3.8
1.22,0.92,4.0
1.23,0.95,4.1
1.24,0.91,4.2
1.25,0.93,4.3
1.26,0.93,4.4
1.27,0.93,4.5
1.28,0.95,4.7
1.29,0.93,4.8
1.3,0.96,4.9
1.31,0.94,4.9
1.32,0.96,5.0
1.33,0.94,5.1
1.34,0.96,5.2
1.35,0.96,5.4
1.36,0.96,5.4
1.37,0.99,5.5
1.38,0.95,5.5
1.39,0.99,5.6
1.4,0.96,5.6
1.41,0.99,5.7
1.42,0.98,5.7
1.43,0.99,5.7
1.44,1.0,5.8
1.45,0.98,5.8
1.46,1.02,5.8
1.47,1.0,6.0
1.48,1.02,6.0
1.49,1.02,6.0
1.5,1.03,6.1
1.51,1.04,6.1
1.52,1.02,6.1
1.53,1.06,6.2
1.54,1.03,6.2
1.55,1.07,6.2
1.56,1.04,6.3
1.57,1.07,6.3
1.58,1.05,6.3
1.59,1.06,6.4
1.6,1.07,6.4
1.61,1.04,6.4
1.62,1.07,6.5
1.63,1.01,6.5
1.64,1.04,6.7
1.65,0.97,6.7
1.66,0.97,6.8
1.67,0.91,6.8
1.68,0.89,6.9
1.69,0.88,7.0
1.7,0.85,7.1
1.71,0.87,7.2
1.72,0.87,7.4
1.73,0.88,7.5
1.74,0.87,7.6
1.75,0.87,7.7
1.76,0.87,7.7
1.77,0.85,7.8
1.78,0.88,8.0
1.79,0.87,8.1
1.8,0.95,8.2
1.81,0.96,8.2
1.82,0.98,8.3
1.83,1.0,8.3
1.84,1.0,8.4
1.85,1.04,8.5
1.86,1.0,8.5
1.87,1.04,8.5
1.88,1.0,8.7
1.89,1.06,8.7
1.9,1.03,8.7
1.91,1.08,8.7
1.92,1.07,8.7
1.93,1.07,8.7
1.94,1.09,8.8
1.95,1.05,8.8
1.96,1.09,8.8
1.97,1.05,8.8
1.98,1.08,8.8
1.99,1.05,8.9
2.0,1.04,8.9
2.01,1.02,8.9
2.02,0.96,8.9
2.03,0.94,9.0
2.04,0.88,9.0
2.05,0.88,9.1
2.06,0.86,9.3
2.07,0.84,9.3
2.08,0.84,9.4
2.09,0.8,9.4
2.1,0.83,9.5
2.11,0.78,9.5
2.12,0.8,9.6
2.13,0.78,9.6
2.14,0.78,9.7
2.15,0.8,9.7
2.16,0.78,9.8
2.17,0.86,10.0
2.18,0.85,10.0
2.19,0.88,10.0
2.2,0.86,10.1
2.21,0.88,10.1
2.22,0.87,10.1
2.23,0.89,10.2
2.24,0.92,10.2
2.25,0.9,10.2
2.26,0.97,10.2
2.27,0.93,10.3
2.28,1.0,10.3
2.29,0.95,10.3
2.3,1.0,10.3
2.31,0.96,10.4
2.32,0.99,10.4
2.33,0.98,10.4
2.34,0.98,10.5
2.35,1.01,10.5
2.36,0.99,10.7
2.37,1.08,10.8
2.38,1.05,10.9
2.39,1.08,10.9
2.4,1.02,10.9
2.41,1.04,11.0
2.42,1.04,11.0
2.43,1.03,11.1
2.44,1.07,11.1
2.45,1.02,11.1
2.46,1.05,11.1
2.47,1.01,11.3
2.48,1.02,11.3
2.49,1.01,11.3
2.5,0.99,11.4
2.51,1.03,11.4
2.52,1.0,11.4
2.53,1.05,11.5
2.54,1.0,11.5
2.55,1.05,11.6
2.56,1.01,11.6
2.57,1.02,11.7
2.58,1.03,11.7
2.59,1.02,11.8
2.6,1.08,12.0
2.61,1.04,12.0
2.62,1.07,12.1
2.63,1.05,12.2
2.64,1.08,12.3
2.65,1.08,12.5
2.66,1.09,12.8
2.67,1.12,13.0
2.68,1.12,13.4
2.69,1.16,13.7
2.7,1.15,14.2
2.71,1.26,14.8
2.72,1.27,15.4
2.73,1.39,16.3
2.74,1.54,17.5
2.75,1.68,18.9
2.76,1.97,20.8
2.77,2.21,23.0
2.78,2.51,25.4
2.79,2.75,27.7
2.8,3.06,30.1
2.81,3.32,32.3
2.82,3.53,34.3
2.83,3.72,36.2
2.84,3.71,37.9
2.85,3.83,39.0
2.86,3.67,39.9
2.87,3.58,40.5
2.88,3.27,40.7
2.89,3.05,40.7
2.9,2.73,40.7
2.91,2.52,40.8
2.92,2.27,40.9
2.93,2.02,41.0
2.94,1.87,41.0
2.95,1.6,41.2
2.96,1.51,41.4
2.97,1.3,41.5
2.98,1.19,41.9
2.99,1.08,42.1
3.0,0.95,42.6
3.01,0.91,43.0
3.02,0.8,43.7
3.03,0.84,44.9
3.04,0.91,46.5
3.05,1.05,48.6
3.06,1.26,51.0
3.07,1.54,54.0
3.08,1.83,57.2
3.09,1.94,60.5
3.1,2.17,63.8
3.11,2.32,67.1
3.12,2.48,70.1
3.13,2.46,72.8
3.14,2.49,75.3
3.15,2.66,78.1
3.16,2.72,81.3
3.17,2.9,84.7
3.18,2.89,88.0
3.19,3.13,91.4
3.2,3.12,94.7
3.21,3.14,97.9
3.22,2.91,100.6
3.23,2.77,103.1
3.24,2.54,105.7
3.25,2.46,108.5
3.26,2.41,111.8
3.27,2.27,115.3
3.28,2.39,118.9
3.29,2.32,122.5
3.3,2.32,126.0
3.31,2.14,129.6
3.32,1.96,132.8
3.33,1.77,136.0
3.34,1.69,139.8
3.35,1.65,144.2
3.36,1.46,148.6
3.37,1.54,153.2
3.38,1.57,158.1
3.39,1.55,162.7
3.4,1.47,167.2
3.41,1.66,172.1
3.42,1.78,177.4
3.43,1.7,182.8
3.44,1.89,187.9
3.45,1.88,192.9
3.46,1.98,198.0
3.47,2.09,203.5
3.48,2.1,209.0
3.49,2.05,214.5
3.5,2.17,219.6
3.51,2.1,224.7
3.52,2.08,229.9
3.53,2.21,235.3
3.54,1.99,240.7
3.55,1.98,245.7
3.56,1.87,250.5
3.57,1.66,255.3
3.58,1.58,260.5
3.59,1.5,265.9
3.6,1.33,271.3
3.61,1.25,276.6
3.62,1.15,281.8
3.63,1.05,287.1
3.64,1.08,292.9
3.65,1.05,298.8
3.66,1.08,304.8
3.67,1.05,310.6
3.68,1.0,316.5
3.69,1.06,322.9
3.7,1.18,329.4
3.71,1.24,335.8
3.72,1.24,342.2
3.73,1.22,348.6
3.74,1.53,355.3
3.75,1.44,362.1
3.76,1.47,368.7
3.77,1.41,375.0
3.78,1.66,381.6
3.79,1.7,388.6
3.8,1.57,395.4
3.81,1.63,401.8
3.82,1.6,408.4
3.83,1.86,415.3
3.84,1.53,422.1
3.85,1.69,428.6
3.86,1.52,435.0
3.87,1.76,441.9
3.88,1.53,448.9
3.89,1.5,455.6
3.9,1.45,462.1
3.91,1.46,468.9
3.92,1.56,475.9
3.93,1.29,482.9
3.94,1.41,489.5
3.95,1.28,496.3
3.96,1.54,503.5
3.97,1.27,510.6
3.98,1.32,517.4
3.99,1.23,524.2
4.0,1.41,531.4
4.01,1.32,538.7
4.02,1.24,545.6
4.03,1.18,552.4
4.04,1.24,559.4
4.05,1.23,566.7
4.06,1.11,573.8
4.07,1.02,580.5
4.08,1.0,587.7
4.09,1.08,595.1
4.1,1.03,602.4
4.11,1.02,609.5
4.12,0.9,617.0
4.13,1.08,624.6
4.14,1.04,632.2
4.15,1.07,639.6
4.16,1.02,647.2
4.17,1.2,655.1
4.18,1.17,662.8
4.19,1.12,670.4
4.2,1.24,678.2
4.21,1.34,686.3
4.22,1.34,694.2
4.23,1.24,701.9
4.24,1.5,709.8
4.25,1.49,717.9
4.26,1.4,725.7
4.27,1.42,733.3
4.28,1.6,741.3
4.29,1.58,749.3
4.3,1.42,757.1
4.31,1.52,764.7
4.32,1.59,772.7
4.33,1.51,780.6
4.34,1.35,788.2
4.35,1.48,795.8
4.36,1.48,803.8
4.37,1.39,811.5
4.38,1.21,819.0
4.39,1.31,826.7
4.4,1.25,834.4
4.41,1.15,841.9
4.42,0.97,849.0
4.43,1.01,856.7
4.44,0.91,864.5
4.45,0.95,871.9
4.46,0.77,879.4
4.47,0.78,887.3
4.48,0.77,895.1
4.49,0.8,902.7
4.5,0.75,910.5
4.51,0.79,918.7
4.52,0.88,926.6
4.53,0.89,934.4
4.54,0.86,942.6
4.55,0.92,950.8
4.56,0.95,958.8
4.57,0.92,966.7
4.58,0.85,974.8
4.59,0.88,983.0
4.6,0.9,990.9
4.61,0.81,999.0
4.62,0.86,1007.4
4.63,0.92,1015.5
4.64,0.89,1023.5
4.65,0.87,1031.9
4.66,0.94,1040.2
4.67,0.99,1048.2
4.68,0.98,1056.4
4.69,0.99,1064.7
4.7,1.12,1073.0
4.71,1.1,1080.7
4.72,1.07,1088.9
4.73,1.13,1097.0
4.74,1.13,1104.8
4.75,1.05,1112.5
4.76,1.02,1120.7
4.77,1.07,1128.5
4.78,1.0,1136.1
4.79,0.88,1143.6
4.8,0.82,1151.5
4.81,0.84,1159.3
4.82,0.8,1166.8
4.83,0.72,1174.6
4.84,0.75,1182.6
4.85,0.8,1190.3
4.86,0.8,1198.0
4.87,0.79,1206.0
4.88,0.87,1214.1
4.89,0.95,1221.9
4.9,0.89,1229.7
4.91,0.87,1237.8
4.92,0.94,1245.8
4.93,0.91,1253.6
4.94,0.84,1261.6
4.95,0.81,1269.7
4.96,0.86,1277.8
4.97,0.81,1285.7
4.98,0.79,1293.7
4.99,0.78,1302.0
5.0,0.84,1310.0
5.01,0.77,1317.9
5.02,0.78,1326.1
5.03,0.83,1334.3
5.04,0.87,1342.3
5.05,0.87,1350.3
5.06,0.9,1358.6
5.07,1.01,1366.7
5.08,0.98,1374.5
5.09,0.98,1382.6
5.1,1.03,1390.7
5.11,1.09,1398.6
5.12,1.04,1406.4
5.13,0.99,1414.4
5.14,1.04,1422.3
5.15,0.98,1429.7
5.16,0.88,1437.2
5.17,0.82,1445.0
5.18,0.85,1452.7
5.19,0.76,1460.0
5.2,0.72,1467.5
5.21,0.69,1475.3
5.22,0.77,1482.9
5.23,0.7,1490.3
5.24,0.69,1498.0
5.25,0.67,1505.8
5.26,0.74,1513.5
5.27,0.7,1520.9
5.28,0.67,1528.7
5.29,0.7,1536.5
5.3,0.7,1544.0
5.31,0.66,1551.6
5.32,0.62,1559.4
5.33,0.69,1567.3
5.34,0.66,1575.0
5.35,0.65,1582.5
5.36,0.62,1590.5
5.37,0.67,1598.3
5.38,0.62,1605.9
5.39,0.61,1613.6
5.4,0.6,1621.6
5.41,0.66,1629.4
5.42,0.65,1637.0
5.43,0.66,1644.9
5.44,0.68,1652.9
5.45,0.75,1660.7
5.46,0.75,1668.2
5.47,0.75,1676.1
5.48,0.79,1684.0
5.49,0.84,1691.5
5.5,0.8,1699.1
5.51,0.81,1707.0
5.52,0.89,1714.6
5.53,0.89,1721.8
5.54,0.82,1729.1
5.55,0.77,1736.7
5.56,0.83,1744.2
5.57,0.77,1751.2
5.58,0.73,1758.4
5.59,0.65,1765.9
5.6,0.73,1773.2
5.61,0.65,1780.4
5.62,0.65,1787.6
5.63,0.59,1795.1
5.64,0.71,1802.6
5.65,0.66,1809.6
5.66,0.68,1816.8
5.67,0.63,1824.3
5.68,0.74,1831.6
5.69,0.68,1838.8
5.7,0.71,1846.0
5.71,0.62,1853.4
5.72,0.72,1860.8
5.73,0.65,1868.0
5.74,0.68,1875.2
5.75,0.59,1882.7
5.76,0.69,1890.2
5.77,0.61,1897.5
5.78,0.64,1904.6
5.79,0.56,1912.3
5.8,0.66,1919.7
5.81,0.62,1927.1
5.82,0.68,1934.4
5.83,0.63,1942.1
5.84,0.76,1949.6
5.85,0.74,1956.9
5.86,0.75,1964.2
5.87,0.7,1971.7
5.88,0.81,1979.3
5.89,0.78,1986.5
5.9,0.79,1993.6
5.91,0.73,2001.1
5.92,0.83,2008.4
5.93,0.76,2015.2
5.94,0.73,2022.0
5.95,0.62,2029.2
5.96,0.7,2036.3
5.97,0.59,2043.1
5.98,0.61,2049.8
5.99,0.49,2056.7
6.0,0.56,2063.8
6.01,0.52,2070.6
6.02,0.54,2077.3
6.03,0.5,2084.3
6.04,0.56,2091.5
6.05,0.6,2098.4
6.06,0.62,2105.1
6.07,0.6,2112.0
6.08,0.6,2119.0
6.09,0.65,2126.0
6.1,0.63,2132.7
6.11,0.59,2139.5
6.12,0.53,2146.6
6.13,0.58,2153.6
6.14,0.53,2160.5
6.15,0.53,2167.2
6.16,0.46,2174.4
6.17,0.54,2181.4
6.18,0.51,2188.4
6.19,0.54,2195.2
6.2,0.49,2202.4
6.21,0.58,2209.4
6.22,0.58,2216.5
6.23,0.64,2223.3
6.24,0.58,2230.3
6.25,0.65,2237.5
6.26,0.67,2244.4
6.27,0.7,2251.2
6.28,0.69,2258.1
6.29,0.68,2265.1
6.3,0.75,2272.0
6.31,0.71,2278.6
6.32,0.7,2285.1
6.33,0.62,2292.0
6.34,0.69,2298.7
6.35,0.62,2305.3
6.36,0.64,2311.6
6.37,0.52,2318.1
6.38,0.58,2324.9
6.39,0.56,2331.4
6.4,0.57,2337.8
6.41,0.51,2344.0
6.42,0.5,2350.6
6.43,0.55,2357.2
6.44,0.56,2363.8
6.45,0.58,2370.0
6.46,0.53,2376.5
6.47,0.59,2383.3
6.48,0.61,2389.8
6.49,0.64,2396.3
6.5,0.59,2402.5
6.51,0.56,2409.2
6.52,0.58,2415.8
6.53,0.57,2422.3
6.54,0.56,2428.5
6.55,0.49,2435.0
6.56,0.53,2441.9
6.57,0.55,2448.4
6.58,0.56,2455.0
6.59,0.55,2461.5
6.6,0.55,2468.3
6.61,0.62,2475.1
6.62,0.64,2481.6
6.63,0.67,2487.9
6.64,0.61,2494.5
6.65,0.66,2501.2
6.66,0.7,2507.9
6.67,0.73,2514.3
6.68,0.7,2520.5
6.69,0.65,2527.2
6.7,0.72,2533.8
6.71,0.71,2540.3
6.72,0.7,2546.4
6.73,0.62,2552.8
6.74,0.66,2559.3
6.75,0.68,2565.8
6.76,0.69,2572.1
6.77,0.64,2578.2
6.78,0.61,2584.7
6.79,0.66,2591.0
6.8,0.65,2597.3
6.81,0.65,2603.3
6.82,0.56,2609.1
6.83,0.54,2615.5
6.84,0.55,2621.7
6.85,0.53,2627.9
6.86,0.52,2633.8
6.87,0.45,2639.8
6.88,0.47,2646.1
6.89,0.49,2652.4
6.9,0.51,2658.6
6.91,0.51,2664.5
6.92,0.47,2670.6
6.93,0.52,2677.0
6.94,0.54,2683.3
6.95,0.58,2689.4
6.96,0.56,2695.3
6.97,0.54,2701.6
6.98,0.58,2707.9
6.99,0.6,2714.3
7.0,0.61,2720.3
7.01,0.56,2726.3
7.02,0.54,2732.7
7.03,0.58,2738.9
7.04,0.58,2745.1
7.05,0.61,2751.1
7.06,0.54,2757.1
7.07,0.55,2763.5
7.08,0.6,2769.7
7.09,0.62,2776.0
7.1,0.63,2781.9
7.11,0.56,2787.9
7.12,0.59,2794.2
7.13,0.62,2800.5
7.14,0.65,2806.5
7.15,0.65,2812.4
7.16,0.59,2818.4
7.17,0.63,2824.7
7.18,0.66,2830.8
7.19,0.69,2836.8
7.2,0.65,2842.6
7.21,0.6,2848.7
7.22,0.63,2854.9
7.23,0.63,2860.9
7.24,0.63,2866.7
7.25,0.56,2872.5
7.26,0.54,2878.6
7.27,0.59,2884.8
7.28,0.59,2890.8
7.29,0.62,2896.5
7.3,0.54,2902.2
7.31,0.54,2908.3
7.32,0.57,2914.2
7.33,0.57,2920.2
7.34,0.59,2925.9
7.35,0.52,2931.4
7.36,0.51,2937.4
7.37,0.56,2943.4
7.38,0.57,2949.3
7.39,0.6,2955.0
7.4,0.56,2960.8
7.41,0.57,2966.9
7.42,0.62,2973.1
7.43,0.65,2979.1
7.44,0.67,2984.8
7.45,0.61,2990.5
7.46,0.6,2996.6
7.47,0.64,3002.6
7.48,0.64,3008.6
7.49,0.66,3014.4
7.5,0.58,3020.0
7.51,0.58,3026.3
7.52,0.62,3032.3
7.53,0.63,3038.4
7.54,0.67,3044.3
7.55,0.61,3050.1
7.56,0.62,3056.3
7.57,0.67,3062.4
7.58,0.68,3068.4
7.59,0.69,3074.2
7.6,0.6,3080.0
7.61,0.61,3086.2
7.62,0.65,3092.3
7.63,0.68,3098.4
7.64,0.7,3104.2
7.65,0.63,3110.1
7.66,0.66,3116.5
7.67,0.72,3122.6
7.68,0.74,3128.6
7.69,0.72,3134.2
7.7,0.67,3140.2
7.71,0.7,3146.5
7.72,0.73,3152.5
7.73,0.73,3158.4
7.74,0.7,3164.0
7.75,0.63,3169.9
7.76,0.64,3176.0
7.77,0.67,3181.9
7.78,0.66,3187.7
7.79,0.62,3193.2
7.8,0.53,3198.9
7.81,0.53,3204.9
7.82,0.54,3210.6
7.83,0.54,3216.5
7.84,0.52,3222.1
7.85,0.46,3227.6
7.86,0.47,3233.6
7.87,0.51,3239.5
7.88,0.51,3245.3
7.89,0.53,3250.9
7.9,0.5,3256.6
7.91,0.5,3262.7
7.92,0.56,3268.7
7.93,0.57,3274.7
7.94,0.6,3280.5
7.95,0.53,3286.2
7.96,0.54,3292.4
7.97,0.56,3298.5
7.98,0.58,3304.5
7.99,0.58,3310.2
8.0,0.52,3316.1
8.01,0.53,3322.4
8.02,0.57,3328.5
8.03,0.58,3334.5
8.04,0.59,3340.4
8.05,0.55,3346.4
8.06,0.59,3352.6
8.07,0.65,3358.9
8.08,0.69,3364.9
8.09,0.7,3370.8
8.1,0.65,3376.8
8.11,0.7,3383.0
8.12,0.76,3389.1
8.13,0.79,3395.1
8.14,0.77,3400.9
8.15,0.7,3407.0
8.16,0.75,3413.1
8.17,0.77,3419.3
8.18,0.79,3425.3
8.19,0.73,3430.9
8.2,0.67,3437.0
8.21,0.69,3443.1
8.22,0.68,3449.1
8.23,0.68,3454.9
8.24,0.61,3460.6
8.25,0.57,3466.7
8.26,0.62,3472.7
8.27,0.62,3478.7
8.28,0.64,3484.5
8.29,0.58,3490.0
8.3,0.54,3496.0
8.31,0.58,3501.9
8.32,0.57,3507.8
8.33,0.58,3513.5
8.34,0.52,3519.0
8.35,0.5,3525.0
8.36,0.54,3531.0
8.37,0.56,3537.0
8.38,0.59,3542.8
8.39,0.55,3548.4
8.4,0.53,3554.5
8.41,0.59,3560.8
8.42,0.61,3566.8
8.43,0.63,3572.7
8.44,0.59,3578.6
8.45,0.56,3584.7
8.46,0.61,3590.9
8.47,0.62,3597.0
8.48,0.64,3603.0
8.49,0.58,3608.9
8.5,0.57,3615.3
8.51,0.64,3621.5
8.52,0.65,3627.8
8.53,0.69,3633.8
8.54,0.64,3639.8
8.55,0.66,3646.3
8.56,0.73,3652.6
8.57,0.74,3658.7
8.58,0.75,3664.6
8.59,0.66,3670.7
8.6,0.7,3677.1
8.61,0.73,3683.3
8.62,0.75,3689.6
8.63,0.75,3695.5
8.64,0.67,3701.7
8.65,0.73,3707.9
8.66,0.72,3714.2
8.67,0.75,3720.2
8.68,0.67,3726.0
8.69,0.61,3732.2
8.7,0.65,3738.4
8.71,0.63,3744.6
8.72,0.65,3750.6
8.73,0.57,3756.3
8.74,0.55,3762.7
8.75,0.59,3768.8
8.76,0.59,3774.9
8.77,0.6,3780.8
8.78,0.52,3786.6
8.79,0.48,3792.6
8.8,0.52,3798.8
8.81,0.52,3804.8
8.82,0.52,3810.6
8.83,0.46,3816.4
8.84,0.45,3822.6
8.85,0.51,3828.7
8.86,0.51,3834.9
8.87,0.54,3840.8
8.88,0.45,3846.6
8.89,0.49,3853.0
8.9,0.5,3859.2
8.91,0.53,3865.5
8.92,0.52,3871.4
8.93,0.47,3877.5
8.94,0.47,3883.8
8.95,0.51,3890.1
8.96,0.51,3896.3
8.97,0.51,3902.3
8.98,0.45,3908.6
8.99,0.49,3915.0
9.0,0.53,3921.5
9.01,0.56,3927.6
9.02,0.54,3933.8
9.03,0.52,3940.1
9.04,0.59,3946.6
9.05,0.6,3953.0
9.06,0.64,3959.1
9.07,0.58,3965.1
9.08,0.58,3971.6
9.09,0.63,3978.0
9.1,0.63,3984.3
9.11,0.64,3990.3
9.12,0.54,3996.4
9.13,0.57,4002.9
9.14,0.58,4009.2
9.15,0.6,4015.5
9.16,0.58,4021.5
9.17,0.54,4027.8
9.18,0.58,4034.2
9.19,0.59,4040.3
9.2,0.58,4046.3
9.21,0.52,4052.4
9.22,0.51,4058.8
9.23,0.55,4065.0
9.24,0.55,4071.3
9.25,0.55,4077.3
9.26,0.48,4083.3
9.27,0.48,4089.6
9.28,0.52,4095.9
9.29,0.51,4102.0
9.3,0.49,4107.9
9.31,0.42,4113.9
9.32,0.42,4120.1
9.33,0.45,4126.5
9.34,0.5,4132.6
9.35,0.46,4138.7
9.36,0.48,4145.1
9.37,0.52,4151.6
9.38,0.58,4157.9
9.39,0.57,4164.2
9.4,0.56,4170.3
9.41,0.5,4176.8
9.42,0.58,4183.2
9.43,0.54,4189.6
9.44,0.58,4195.7
9.45,0.48,4201.8
9.46,0.51,4208.5
9.47,0.55,4214.9
9.48,0.58,4221.4
9.49,0.58,4227.5
9.5,0.52,4234.0
9.51,0.59,4240.6
9.52,0.59,4247.0
9.53,0.62,4253.3
9.54,0.55,4259.4
9.55,0.54,4265.9
9.56,0.59,4272.4
9.57,0.57,4278.8
9.58,0.6,4285.0
9.59,0.49,4291.3
9.6,0.54,4297.8
9.61,0.54,4304.3
9.62,0.57,4310.6
9.63,0.52,4316.7
9.64,0.48,4323.2
9.65,0.52,4329.8
9.66,0.54,4336.3
9.67,0.56,4342.5
9.68,0.5,4348.9
9.69,0.52,4355.4
9.7,0.55,4361.8
9.71,0.55,4368.1
9.72,0.52,4374.0
9.73,0.43,4380.3
9.74,0.48,4386.7
9.75,0.46,4393.0
9.76,0.49,4399.0
9.77,0.41,4405.2
9.78,0.43,4411.5
9.79,0.46,4417.9
9.8,0.47,4424.2
9.81,0.49,4430.4
9.82,0.41,4436.5
9.83,0.45,4443.1
9.84,0.47,4449.5
9.85,0.5,4455.9
9.86,0.46,4461.9
9.87,0.41,4468.4
9.88,0.45,4474.9
9.89,0.46,4481.3
9.9,0.48,4487.6
9.91,0.42,4493.7
9.92,0.42,4500.3
9.93,0.45,4506.8
9.94,0.47,4513.1
9.95,0.48,4519.2
9.96,0.42,4525.5
9.97,0.48,4532.1
9.98,0.51,4538.6
9.99,0.51,4544.9
10.0,0.49,4551.0
10.01,0.45,4557.5
10.02,0.53,4564.0
10.03,0.54,4570.5
10.04,0.57,4576.7
10.05,0.51,4582.9
10.06,0.49,4589.5
10.07,0.53,4596.0
10.08,0.53,4602.5
10.09,0.52,4608.6
10.1,0.45,4615.1
10.11,0.51,4621.7
10.12,0.51,4628.0
10.13,0.53,4634.4
10.14,0.48,4640.5
10.15,0.47,4647.1
10.16,0.54,4653.6
10.17,0.53,4659.9
10.18,0.57,4665.9
10.19,0.44,4672.2
10.2,0.48,4678.5
10.21,0.46,4684.8
10.22,0.47,4691.0
10.23,0.4,4696.9
10.24,0.34,4703.1
10.25,0.35,4709.5
10.26,0.38,4715.9
10.27,0.38,4722.1
10.28,0.35,4728.1
10.29,0.33,4734.6
10.3,0.39,4741.1
10.31,0.4,4747.5
10.32,0.42,4753.8
10.33,0.35,4760.0
10.34,0.37,4766.6
10.35,0.4,4773.1
10.36,0.41,4779.6
10.37,0.4,4785.7
10.38,0.35,4792.3
10.39,0.42,4798.9
10.4,0.43,4805.5
10.41,0.49,4811.8
10.42,0.42,4818.1
10.43,0.46,4824.8
10.44,0.51,4831.4
10.45,0.53,4837.8
10.46,0.54,4844.1
10.47,0.46,4850.4
10.48,0.5,4857.0
10.49,0.53,4863.6
10.5,0.56,4870.0
10.51,0.53,4876.2
10.52,0.47,4882.7
10.53,0.54,4889.3
10.54,0.55,4895.8
10.55,0.56,4902.0
10.56,0.46,4908.2
10.57,0.46,4914.8
10.58,0.5,4921.3
10.59,0.48,4927.5
10.6,0.48,4933.7
10.61,0.37,4940.0
10.62,0.42,4946.5
10.63,0.4,4952.7
10.64,0.37,4958.7
10.65,0.31,4964.7
10.66,0.28,4971.2
10.67,0.32,4977.6
10.68,0.34,4983.9
10.69,0.35,4989.9
10.7,0.3,4996.1
10.71,0.31,5002.5
10.72,0.38,5009.0
10.73,0.38,5015.4
10.74,0.38,5021.5
10.75,0.31,5028.0
10.76,0.37,5034.6
10.77,0.37,5041.0
10.78,0.4,5047.4
10.79,0.35,5053.6
10.8,0.34,5060.2
10.81,0.4,5066.7
10.82,0.41,5073.3
10.83,0.44,5079.4
10.84,0.37,5085.8
10.85,0.44,5092.4
10.86,0.46,5099.0
10.87,0.49,5105.3
10.88,0.48,5111.4
10.89,0.43,5117.9
10.9,0.51,5124.5
10.91,0.53,5130.9
10.92,0.54,5137.1
10.93,0.48,5143.2
10.94,0.44,5149.8
10.95,0.51,5156.2
10.96,0.47,5162.7
10.97,0.5,5168.7
10.98,0.37,5174.9
10.99,0.41,5181.5
11.0,0.43,5187.9
11.01,0.43,5194.1
11.02,0.4,5200.1
11.03,0.33,5206.7
11.04,0.41,5213.0
11.05,0.38,5219.4
11.06,0.44,5225.5
11.07,0.34,5231.6
11.08,0.39,5238.1
11.09,0.42,5244.5
