Time (s),Force (N),Distance (mm)
0.01,0.9,0.0
0.02,0.9,0.0
0.03,0.94,0.0
0.04,0.94,0.0
0.05,0.95,0.1
0.06,0.94,0.1
0.07,0.95,0.1
0.08,0.95,0.1
0.09,0.95,0.1
0.1,0.96,0.1
0.11,0.95,0.1
0.12,0.95,0.1
0.13,0.95,0.1
0.14,0.95,0.1
0.15,0.95,0.1
0.16,0.95,0.1
0.17,0.95,0.1
0.18,0.95,0.1
0.19,0.95,0.1
0.2,0.95,0.1
0.21,0.95,0.1
0.22,0.94,0.1
0.23,0.95,0.1
0.24,0.94,0.1
0.25,0.94,0.1
0.26,0.94,0.1
0.27,0.93,0.1
0.28,0.94,0.1
0.29,0.92,0.1
0.3,0.93,0.2
0.31,0.91,0.2
0.32,0.91,0.2
0.33,0.91,0.2
0.34,0.9,0.2
0.35,0.91,0.2
0.36,0.9,0.2
0.37,0.9,0.2
0.38,0.89,0.2
0.39,0.89,0.2
0.4,0.89,0.2
0.41,0.89,0.2
0.42,0.89,0.2
0.43,0.88,0.2
0.44,0.89,0.2
0.45,0.88,0.2
0.46,0.9,0.3
0.47,0.89,0.3
0.48,0.9,0.3
0.49,0.9,0.3
0.5,0.9,0.3
0.51,0.91,0.3
0.52,0.91,0.3
0.53,0.93,0.3
0.54,0.92,0.3
0.55,0.93,0.3
0.56,0.93,0.3
0.57,0.94,0.3
0.58,0.94,0.3
0.59,0.94,0.4
0.6,0.95,0.4
0.61,0.94,0.4
0.62,0.96,0.4
0.63,0.94,0.4
0.64,0.95,0.4
0.65,0.95,0.4
0.66,0.95,0.4
0.67,0.95,0.4
0.68,0.94,0.4
0.69,0.96,0.5
0.7,0.94,0.5
0.71,0.96,0.5
0.72,0.94,0.5
0.73,0.95,0.5
0.74,0.94,0.5
0.75,0.94,0.7
0.76,0.94,0.7
0.77,0.92,0.7
0.78,0.94,0.7
0.79,0.91,0.7
0.8,0.94,0.8
0.81,0.91,0.8
0.82,0.92,0.8
0.83,0.92,0.9
0.84,0.91,0.9
0.85,0.92,0.9
0.86,0.9,1.0
0.87,0.93,1.0
0.88,0.91,1.1
0.89,0.92,1.1
0.9,0.91,1.2
0.91,0.93,1.2
0.92,0.94,1.4
0.93,0.93,1.4
0.94,0.96,1.5
0.95,0.94,1.6
0.96,0.98,1.6
0.97,0.96,1.7
0.98,0.99,1.8
0.99,0.97,1.8
1.0,0.98,2.0
1.01,0.99,2.1
1.02,0.97,2.2
1.03,1.0,2.3
1.04,0.98,2.4
1.05,1.01,2.4
1.06,0.98,2.5
1.07,1.01,2.7
1.08,0.99,2.8
1.09,0.99,2.9
1.1,1.0,2.9
1.11,0.98,3.0
1.12,1.01,3.1
1.13,0.97,3.1
1.14,1.0,3.2
1.15,0.96,3.4
