Time (s),Force (N),Distance (mm)
0.01,0.47,0.0
0.02,0.47,0.1
0.03,0.52,0.2
0.04,0.48,0.2
0.05,0.5,0.2
0.06,0.45,0.3
0.07,0.48,0.3
0.08,0.45,0.3
0.09,0.48,0.3
0.1,0.43,0.3
0.11,0.47,0.3
0.12,0.44,0.3
0.13,0.45,0.3
0.14,0.44,0.3
0.15,0.45,0.3
0.16,0.45,0.3
0.17,0.44,0.3
0.18,0.45,0.3
0.19,0.45,0.3
0.2,0.45,0.3
0.21,0.44,0.4
0.22,0.47,0.4
0.23,0.45,0.4
0.24,0.46,0.4
0.25,0.47,0.4
0.26,0.47,0.4
0.27,0.48,0.4
0.28,0.48,0.4
0.29,0.49,0.4
0.3,0.48,0.4
0.31,0.49,0.4
0.32,0.49,0.5
0.33,0.49,0.5
0.34,0.5,0.5
0.35,0.49,0.5
0.36,0.51,0.5
0.37,0.49,0.5
0.38,0.51,0.5
0.39,0.5,0.5
0.4,0.51,0.7
0.41,0.51,0.7
0.42,0.51,0.7
0.43,0.52,0.7
0.44,0.51,0.7
0.45,0.53,0.8
0.46,0.52,0.8
0.47,0.53,0.8
0.48,0.52,0.8
0.49,0.53,0.9
0.5,0.56,0.9
0.51,0.54,0.9
0.52,0.56,1.0
0.53,0.55,1.0
0.54,0.59,1.1
0.55,0.58,1.2
0.56,0.59,1.2
0.57,0.58,1.4
0.58,0.57,1.4
0.59,0.59,1.5
0.6,0.58,1.5
0.61,0.6,1.6
0.62,0.57,1.6
0.63,0.59,1.7
0.64,0.57,1.7
0.65,0.59,1.8
0.66,0.57,1.8
0.67,0.58,2.0
0.68,0.57,2.0
0.69,0.57,2.1
0.7,0.58,2.1
0.71,0.57,2.2
0.72,0.6,2.3
0.73,0.58,2.3
0.74,0.61,2.4
0.75,0.61,2.5
0.76,0.62,2.7
0.77,0.63,2.9
0.78,0.64,3.0
0.79,0.67,3.1
0.8,0.66,3.2
0.81,0.68,3.5
0.82,0.67,3.6
0.83,0.67,3.6
0.84,0.67,3.7
0.85,0.66,3.8
0.86,0.67,4.0
0.87,0.66,4.1
0.88,0.68,4.2
0.89,0.67,4.3
0.9,0.68,4.4
0.91,0.67,4.5
0.92,0.69,4.7
0.93,0.71,4.9
0.94,0.71,5.0
0.95,0.73,5.1
0.96,0.72,5.2
0.97,0.73,5.4
0.98,0.76,5.6
0.99,0.77,5.7
1.0,0.79,6.0
1.01,0.77,6.1
1.02,0.78,6.1
1.03,0.74,6.2
1.04,0.75,6.2
1.05,0.71,6.2
1.06,0.71,6.3
1.07,0.69,6.3
1.08,0.67,6.4
1.09,0.67,6.4
1.1,0.64,6.5
1.11,0.66,6.5
1.12,0.61,6.7
1.13,0.64,6.8
1.14,0.6,6.9
1.15,0.62,7.0
1.16,0.62,7.1
1.17,0.62,7.4
1.18,0.62,7.4
1.19,0.59,7.5
1.2,0.59,7.6
1.21,0.58,7.7
1.22,0.57,7.8
1.23,0.57,8.0
1.24,0.54,8.0
1.25,0.54,8.1
1.26,0.51,8.1
1.27,0.51,8.2
1.28,0.48,8.3
1.29,0.48,8.4
1.3,0.47,8.4
1.31,0.46,8.5
1.32,0.46,8.7
1.33,0.44,8.8
1.34,0.44,8.8
1.35,0.42,8.9
1.36,0.42,9.0
1.37,0.41,9.0
1.38,0.4,9.1
1.39,0.41,9.3
1.4,0.4,9.5
1.41,0.43,9.6
1.42,0.42,9.8
1.43,0.43,10.0
1.44,0.42,10.1
1.45,0.42,10.3
1.46,0.42,10.4
1.47,0.41,10.7
1.48,0.42,11.0
1.49,0.42,11.4
1.5,0.46,11.8
1.51,0.49,12.4
1.52,0.54,13.3
1.53,0.61,14.2
1.54,0.7,15.6
1.55,0.84,17.3
1.56,1.02,19.4
1.57,1.27,21.8
1.58,1.56,24.3
1.59,1.83,26.9
1.6,2.11,29.3
1.61,2.2,31.6
1.62,2.21,33.7
1.63,2.36,35.7
1.64,2.45,37.4
1.65,2.4,38.7
1.66,2.32,39.6
1.67,2.2,40.5
1.68,2.08,41.0
1.69,1.86,41.6
1.7,1.83,42.3
1.71,1.66,43.4
1.72,1.55,44.7
1.73,1.59,46.5
1.74,1.56,48.6
1.75,1.73,51.0
1.76,1.76,53.8
1.77,1.93,56.6
1.78,1.94,59.5
1.79,2.11,62.3
1.8,2.12,65.1
1.81,2.15,67.6
1.82,2.14,69.9
1.83,2.01,72.0
1.84,2.04,74.2
1.85,1.97,76.8
1.86,2.03,79.8
1.87,1.99,83.0
1.88,2.08,86.2
1.89,2.16,89.5
1.9,2.16,92.8
1.91,2.22,95.9
1.92,2.1,98.7
1.93,2.05,101.3
1.94,1.85,103.9
1.95,1.88,107.0
1.96,1.8,110.4
1.97,1.72,114.0
1.98,1.74,117.7
1.99,1.74,121.6
2.0,1.77,125.3
2.01,1.67,129.0
2.02,1.61,132.4
2.03,1.58,136.0
2.04,1.7,140.3
2.05,1.64,144.8
2.06,1.62,149.4
2.07,1.77,153.9
2.08,1.78,158.7
2.09,1.75,163.0
2.1,1.73,167.6
2.11,1.95,172.7
2.12,1.79,178.0
2.13,1.8,183.0
2.14,1.83,187.9
2.15,1.79,192.6
2.16,1.82,197.6
2.17,1.89,203.0
2.18,1.86,208.6
2.19,1.99,214.0
2.2,2.11,219.3
2.21,2.05,224.5
2.22,2.2,229.9
2.23,2.29,235.7
2.24,2.09,241.2
2.25,2.19,246.5
2.26,2.04,251.8
2.27,2.1,257.2
2.28,2.08,263.0
2.29,2.02,268.9
2.3,2.01,274.4
2.31,1.98,279.7
2.32,1.95,285.2
2.33,1.99,291.0
2.34,1.86,296.9
2.35,1.7,302.5
2.36,1.66,308.1
2.37,1.46,313.6
2.38,1.48,319.6
2.39,1.37,325.8
2.4,1.22,332.1
2.41,1.23,338.1
2.42,1.13,344.2
2.43,1.24,350.8
2.44,1.24,357.6
2.45,1.28,364.3
2.46,1.25,370.9
2.47,1.32,377.8
2.48,1.56,384.9
2.49,1.51,392.1
2.5,1.56,399.1
2.51,1.57,406.0
2.52,1.89,413.3
2.53,1.77,420.7
2.54,1.81,427.8
2.55,1.86,434.7
2.56,2.1,442.2
2.57,2.01,449.7
2.58,1.9,456.8
2.59,2.01,463.7
2.6,2.12,471.2
2.61,2.06,478.8
2.62,1.85,486.0
2.63,1.98,493.0
2.64,1.99,500.6
2.65,1.91,508.3
2.66,1.73,515.7
2.67,1.78,522.9
2.68,1.89,530.6
2.69,1.85,538.6
2.7,1.6,546.0
2.71,1.7,553.4
2.72,1.75,561.3
2.73,1.76,569.3
2.74,1.48,576.8
2.75,1.68,584.5
2.76,1.7,592.6
2.77,1.69,600.7
2.78,1.44,608.5
2.79,1.67,616.4
2.8,1.69,624.5
2.81,1.61,632.6
2.82,1.48,640.4
2.83,1.67,648.5
2.84,1.68,656.9
2.85,1.51,665.1
2.86,1.55,673.3
2.87,1.67,681.7
2.88,1.68,690.2
2.89,1.49,698.6
2.9,1.64,706.8
2.91,1.69,715.5
2.92,1.63,724.1
2.93,1.58,732.6
2.94,1.78,741.3
2.95,1.76,750.1
2.96,1.67,758.9
2.97,1.85,767.6
2.98,1.86,776.4
2.99,1.81,785.2
3.0,1.87,793.9
3.01,1.98,802.9
3.02,1.89,811.7
3.03,1.88,820.5
3.04,2.05,829.4
3.05,1.88,838.2
3.06,1.91,847.0
3.07,1.98,856.0
3.08,1.94,864.8
3.09,1.78,873.5
3.1,1.91,882.4
3.11,1.85,891.3
3.12,1.59,900.0
3.13,1.65,908.6
3.14,1.69,917.7
3.15,1.57,926.5
3.16,1.35,935.3
3.17,1.6,944.2
3.18,1.4,953.4
3.19,1.39,962.4
3.2,1.36,971.6
3.21,1.57,980.9
3.22,1.38,990.1
3.23,1.48,999.5
3.24,1.63,1009.0
3.25,1.51,1018.3
3.26,1.6,1027.8
3.27,1.81,1037.4
3.28,1.72,1046.9
3.29,1.72,1056.4
3.3,1.97,1066.0
3.31,1.91,1075.6
3.32,1.79,1085.0
3.33,2.1,1094.5
3.34,1.96,1104.1
3.35,1.87,1113.5
3.36,2.03,1122.9
3.37,1.99,1132.3
3.38,1.81,1141.6
3.39,1.9,1151.0
3.4,1.87,1160.3
3.41,1.62,1169.7
3.42,1.79,1179.3
3.43,1.68,1188.7
3.44,1.55,1198.1
3.45,1.6,1207.7
3.46,1.63,1217.2
3.47,1.44,1226.6
3.48,1.51,1236.3
3.49,1.63,1245.9
3.5,1.44,1255.7
