Time (s),Force (N),Distance (mm)
3.51,1.57,1265.5
3.52,1.69,1275.2
3.53,1.56,1285.1
3.54,1.65,1294.9
3.55,1.73,1304.9
3.56,1.69,1314.7
3.57,1.71,1324.7
3.58,1.94,1334.7
3.59,1.74,1344.6
3.6,1.89,1354.5
3.61,1.9,1364.5
3.62,1.85,1374.2
3.63,1.88,1384.1
3.64,1.95,1394.1
3.65,1.8,1404.0
3.66,1.83,1413.8
3.67,1.94,1423.8
3.68,1.76,1433.7
3.69,1.9,1443.7
3.7,1.95,1453.8
3.71,1.84,1464.0
3.72,1.96,1474.1
3.73,1.98,1484.3
3.74,1.89,1494.5
3.75,1.97,1504.6
3.76,1.99,1514.7
3.77,1.82,1524.8
3.78,1.98,1535.0
3.79,1.93,1545.1
3.8,1.78,1555.2
3.81,1.94,1565.3
3.82,1.8,1575.3
3.83,1.75,1585.3
3.84,1.78,1595.5
3.85,1.67,1605.5
3.86,1.59,1615.5
3.87,1.69,1625.7
3.88,1.58,1635.8
3.89,1.52,1646.0
3.9,1.7,1656.2
3.91,1.52,1666.5
3.92,1.63,1676.7
3.93,1.73,1686.9
3.94,1.61,1697.3
3.95,1.7,1707.5
3.96,1.78,1717.8
3.97,1.71,1728.2
3.98,1.74,1738.4
3.99,1.81,1748.6
4.0,1.61,1758.9
4.01,1.8,1769.2
4.02,1.67,1779.4
4.03,1.64,1789.6
4.04,1.74,1799.9
4.05,1.63,1810.1
4.06,1.6,1820.2
4.07,1.7,1830.5
4.08,1.66,1840.7
4.09,1.56,1850.9
4.1,1.71,1861.3
4.11,1.58,1871.4
4.12,1.58,1881.7
4.13,1.75,1891.9
4.14,1.58,1902.3
4.15,1.68,1912.5
4.16,1.75,1922.9
4.17,1.67,1933.2
4.18,1.74,1943.6
4.19,1.79,1954.0
4.2,1.66,1964.4
4.21,1.78,1974.8
4.22,1.81,1985.3
4.23,1.7,1995.8
4.24,1.86,2006.2
4.25,1.87,2016.6
4.26,1.81,2027.1
4.27,2.01,2037.6
4.28,1.85,2047.9
4.29,1.91,2058.3
4.3,1.95,2068.6
4.31,1.79,2078.8
4.32,1.75,2088.7
4.33,1.76,2098.9
4.34,1.58,2108.9
4.35,1.52,2119.0
4.36,1.64,2129.3
4.37,1.42,2139.4
4.38,1.53,2149.6
4.39,1.49,2159.9
4.4,1.41,2170.1
4.41,1.44,2180.5
4.42,1.5,2190.8
4.43,1.37,2201.2
4.44,1.48,2211.7
4.45,1.54,2222.2
4.46,1.46,2232.8
4.47,1.73,2243.4
4.48,1.61,2253.8
4.49,1.74,2264.4
4.5,1.88,2274.9
4.51,1.86,2285.4
4.52,1.87,2295.7
4.53,1.99,2306.2
4.54,1.91,2316.6
4.55,1.97,2326.9
4.56,2.0,2337.2
4.57,1.84,2347.3
4.58,1.97,2357.6
4.59,1.8,2367.7
4.6,1.7,2377.8
4.61,1.75,2387.9
4.62,1.58,2397.9
4.63,1.45,2408.1
4.64,1.52,2418.3
4.65,1.43,2428.5
4.66,1.32,2438.8
4.67,1.47,2449.2
4.68,1.34,2459.5
4.69,1.35,2469.8
4.7,1.51,2480.2
4.71,1.38,2490.6
4.72,1.47,2501.1
4.73,1.58,2511.7
4.74,1.54,2522.3
4.75,1.67,2532.7
4.76,1.81,2543.2
4.77,1.7,2553.8
4.78,1.91,2564.3
4.79,1.91,2574.8
4.8,1.83,2585.1
4.81,2.02,2595.5
4.82,1.84,2605.9
4.83,1.9,2616.2
4.84,1.93,2626.7
4.85,1.8,2637.1
4.86,1.83,2647.3
4.87,1.84,2657.7
4.88,1.67,2667.8
4.89,1.64,2677.9
4.9,1.68,2688.1
4.91,1.43,2698.3
4.92,1.45,2708.5
4.93,1.51,2718.8
4.94,1.32,2728.9
4.95,1.47,2739.2
4.96,1.43,2749.6
4.97,1.36,2759.8
4.98,1.46,2770.2
4.99,1.51,2780.7
5.0,1.44,2791.2
5.01,1.59,2801.6
5.02,1.59,2812.1
5.03,1.55,2822.6
5.04,1.76,2833.1
5.05,1.65,2843.4
5.06,1.71,2853.9
5.07,1.8,2864.3
5.08,1.72,2874.8
5.09,1.76,2885.1
5.1,1.83,2895.6
5.11,1.67,2906.0
5.12,1.76,2916.2
5.13,1.72,2926.4
5.14,1.62,2936.8
5.15,1.73,2947.2
5.16,1.63,2957.4
5.17,1.58,2967.6
5.18,1.69,2977.9
5.19,1.55,2988.1
5.2,1.5,2998.3
5.21,1.58,3008.6
5.22,1.5,3018.9
5.23,1.44,3029.2
5.24,1.6,3039.6
5.25,1.41,3049.9
5.26,1.49,3060.3
5.27,1.57,3070.8
5.28,1.46,3081.1
5.29,1.62,3091.6
5.3,1.65,3102.2
5.31,1.65,3112.7
5.32,1.78,3123.2
5.33,1.86,3133.8
5.34,1.74,3144.2
5.35,1.94,3154.7
5.36,1.89,3165.2
5.37,1.84,3175.7
5.38,1.98,3186.0
5.39,1.81,3196.4
5.4,1.85,3206.6
5.41,1.86,3217.0
5.42,1.71,3227.4
5.43,1.78,3237.6
5.44,1.72,3247.9
5.45,1.57,3258.0
5.46,1.55,3268.0
5.47,1.57,3278.1
5.48,1.37,3288.2
5.49,1.37,3298.4
5.5,1.38,3308.5
5.51,1.22,3318.6
5.52,1.32,3329.0
5.53,1.29,3339.2
5.54,1.23,3349.5
5.55,1.34,3359.8
5.56,1.37,3370.3
5.57,1.31,3380.7
5.58,1.48,3391.1
5.59,1.49,3401.6
5.6,1.45,3412.1
5.61,1.72,3422.6
5.62,1.59,3433.0
5.63,1.77,3443.5
5.64,1.8,3454.0
5.65,1.83,3464.4
5.66,1.86,3474.8
5.67,1.98,3485.2
5.68,1.84,3495.4
5.69,1.92,3505.7
5.7,1.88,3515.8
5.71,1.72,3526.1
5.72,1.81,3536.3
5.73,1.68,3546.4
5.74,1.58,3556.5
5.75,1.62,3566.7
5.76,1.5,3576.7
5.77,1.37,3586.8
5.78,1.47,3597.2
5.79,1.38,3607.4
5.8,1.37,3617.8
5.81,1.49,3628.1
5.82,1.4,3638.4
5.83,1.44,3648.7
5.84,1.55,3659.2
5.85,1.47,3669.6
5.86,1.62,3679.9
5.87,1.69,3690.4
5.88,1.65,3700.9
5.89,1.78,3711.4
5.9,1.84,3721.7
5.91,1.76,3732.1
5.92,1.91,3742.4
5.93,1.9,3752.8
5.94,1.79,3763.1
5.95,1.91,3773.3
5.96,1.75,3783.4
5.97,1.7,3793.7
5.98,1.72,3803.9
5.99,1.61,3814.0
6.0,1.54,3824.2
6.01,1.61,3834.4
6.02,1.42,3844.5
6.03,1.37,3854.6
6.04,1.42,3864.8
6.05,1.32,3874.9
6.06,1.24,3885.1
6.07,1.32,3895.4
6.08,1.24,3905.5
6.09,1.22,3915.7
6.1,1.32,3926.1
6.11,1.28,3936.4
6.12,1.35,3946.8
6.13,1.48,3957.2
6.14,1.4,3967.6
6.15,1.6,3977.9
6.16,1.66,3988.3
6.17,1.63,3998.8
6.18,1.81,4009.0
6.19,1.79,4019.4
6.2,1.77,4029.6
6.21,1.85,4040.0
6.22,1.8,4050.2
6.23,1.69,4060.3
6.24,1.81,4070.6
6.25,1.67,4080.7
6.26,1.64,4090.9
6.27,1.7,4101.2
6.28,1.57,4111.3
6.29,1.58,4121.4
6.3,1.6,4131.7
6.31,1.46,4141.7
6.32,1.36,4151.4
6.33,1.38,4161.6
6.34,1.26,4171.6
6.35,1.29,4181.9
6.36,1.36,4192.2
6.37,1.3,4202.4
6.38,1.45,4212.8
6.39,1.53,4223.1
6.4,1.46,4233.4
6.41,1.65,4243.6
6.42,1.61,4253.9
6.43,1.62,4264.1
6.44,1.72,4274.5
6.45,1.77,4284.7
6.46,1.64,4295.0
6.47,1.87,4305.2
6.48,1.7,4315.3
6.49,1.73,4325.6
6.5,1.77,4335.8
6.51,1.71,4346.1
6.52,1.63,4356.2
6.53,1.71,4366.3
6.54,1.58,4376.4
6.55,1.56,4386.6
6.56,1.64,4396.9
6.57,1.49,4407.0
6.58,1.57,4417.2
6.59,1.55,4427.4
6.6,1.45,4437.4
6.61,1.45,4447.4
6.62,1.47,4457.6
6.63,1.39,4467.6
6.64,1.39,4477.7
6.65,1.46,4487.8
6.66,1.33,4497.9
6.67,1.41,4508.2
6.68,1.46,4518.3
6.69,1.35,4528.4
6.7,1.48,4538.7
6.71,1.48,4548.8
6.72,1.45,4559.0
6.73,1.56,4569.3
6.74,1.58,4579.4
6.75,1.51,4589.6
6.76,1.69,4600.0
6.77,1.62,4610.1
6.78,1.64,4620.4
6.79,1.81,4630.6
6.8,1.69,4640.9
6.81,1.74,4651.0
6.82,1.8,4661.2
6.83,1.75,4671.4
6.84,1.7,4681.4
6.85,1.77,4691.6
6.86,1.62,4701.6
6.87,1.67,4711.7
6.88,1.66,4721.9
6.89,1.52,4731.9
6.9,1.51,4741.8
6.91,1.51,4751.9
6.92,1.41,4761.9
6.93,1.39,4771.9
6.94,1.46,4782.0
6.95,1.35,4792.0
6.96,1.38,4802.4
6.97,1.51,4812.6
6.98,1.43,4822.9
6.99,1.69,4833.5
7.0,1.77,4844.1
7.01,1.83,4854.5
7.02,2.09,4865.0
7.03,2.06,4875.5
7.04,2.1,4885.7
7.05,2.17,4896.0
7.06,2.1,4906.1
7.07,2.0,4916.2
7.08,2.07,4926.4
7.09,1.83,4936.4
7.1,1.77,4946.4
7.11,1.72,4956.4
7.12,1.54,4966.4
7.13,1.46,4976.4
7.14,1.45,4986.5
7.15,1.32,4996.4
7.16,1.21,5006.5
7.17,1.25,5016.5
7.18,1.1,5026.6
7.19,1.11,5036.7
7.2,1.17,5046.8
7.21,1.16,5056.9
7.22,1.19,5067.3
7.23,1.32,5077.5
7.24,1.28,5087.8
7.25,1.43,5098.3
7.26,1.52,5108.5
7.27,1.49,5118.7
7.28,1.74,5129.2
7.29,1.69,5139.3
7.3,1.73,5149.6
7.31,1.89,5159.9
7.32,1.82,5170.0
7.33,1.83,5180.1
7.34,1.88,5190.2
7.35,1.75,5200.2
7.36,1.7,5210.2
7.37,1.76,5220.3
7.38,1.63,5230.2
7.39,1.55,5240.2
7.4,1.58,5250.4
7.41,1.47,5260.3
7.42,1.38,5270.3
7.43,1.4,5280.4
7.44,1.37,5290.3
7.45,1.33,5300.5
7.46,1.49,5310.6
7.47,1.39,5320.6
7.48,1.42,5330.9
7.49,1.52,5341.0
7.5,1.41,5351.1
7.51,1.55,5361.3
7.52,1.58,5371.4
7.53,1.59,5381.5
7.54,1.72,5391.9
7.55,1.77,5402.0
7.56,1.71,5411.9
7.57,1.81,5422.0
7.58,1.78,5432.0
7.59,1.66,5441.9
7.6,1.76,5451.9
7.61,1.64,5461.9
7.62,1.55,5471.7
7.63,1.61,5481.7
7.64,1.54,5491.6
7.65,1.39,5501.5
7.66,1.48,5511.6
7.67,1.46,5521.6
7.68,1.33,5531.6
7.69,1.49,5541.9
7.7,1.44,5551.9
7.71,1.46,5562.1
7.72,1.64,5572.4
7.73,1.61,5582.4
7.74,1.62,5592.4
7.75,1.66,5602.4
7.76,1.62,5612.3
7.77,1.49,5622.2
7.78,1.62,5632.2
7.79,1.44,5642.1
7.8,1.44,5651.9
7.81,1.48,5662.0
7.82,1.47,5672.0
7.83,1.45,5681.9
7.84,1.55,5691.9
7.85,1.47,5701.8
7.86,1.46,5711.8
7.87,1.6,5721.9
7.88,1.51,5731.8
7.89,1.54,5741.7
7.9,1.59,5751.8
7.91,1.56,5761.7
7.92,1.58,5771.7
7.93,1.7,5781.8
7.94,1.64,5791.8
7.95,1.68,5801.8
7.96,1.78,5811.8
7.97,1.71,5821.8
7.98,1.75,5831.7
7.99,1.78,5841.7
8.0,1.66,5851.6
8.01,1.69,5861.5
8.02,1.67,5871.5
8.03,1.59,5881.4
8.04,1.57,5891.3
8.05,1.62,5901.3
8.06,1.5,5911.1
8.07,1.49,5920.9
8.08,1.48,5930.7
8.09,1.41,5940.5
8.1,1.32,5950.4
8.11,1.44,5960.4
8.12,1.33,5970.2
8.13,1.44,5980.2
8.14,1.48,5990.2
8.15,1.43,6000.1
8.16,1.5,6010.1
8.17,1.58,6020.1
8.18,1.51,6030.0
8.19,1.63,6040.0
8.2,1.61,6050.0
8.21,1.65,6060.0
8.22,1.69,6070.0
8.23,1.77,6080.0
8.24,1.67,6089.8
8.25,1.75,6099.8
8.26,1.79,6109.8
8.27,1.7,6119.6
8.28,1.77,6129.6
8.29,1.74,6139.5
8.3,1.62,6149.3
8.31,1.67,6159.3
8.32,1.67,6169.2
8.33,1.55,6178.9
8.34,1.56,6188.7
8.35,1.51,6198.5
8.36,1.32,6208.0
8.37,1.2,6217.5
8.38,1.08,6227.2
8.39,1.12,6237.0
8.4,1.06,6247.0
8.41,1.25,6256.9
8.42,1.19,6266.8
8.43,1.29,6276.9
8.44,1.51,6286.9
8.45,1.43,6296.8
8.46,1.64,6307.0
8.47,1.73,6316.9
8.48,1.71,6326.8
8.49,1.88,6336.8
8.5,1.85,6346.7
8.51,1.84,6356.5
8.52,1.86,6366.5
8.53,1.84,6376.1
8.54,1.68,6385.9
8.55,1.72,6395.8
8.56,1.67,6405.6
8.57,1.51,6415.2
8.58,1.53,6425.1
8.59,1.55,6434.8
8.6,1.4,6444.5
8.61,1.45,6454.4
8.62,1.49,6464.2
8.63,1.3,6474.0
8.64,1.39,6483.9
8.65,1.45,6493.7
